Will,Nate,Place,Date,Comments,Address,GoogleID,Category,Food
9,9,Super Tortas Estilo Barrio,8/25/2017,,"2641 W Michigan St, Indianapolis, IN 46222, USA",ChIJRflE38NXa4gRz0zJxke0RPM,dive,Mexican
8,7,Hoagies and Hops,9/1/2017,,"414 Dorman St, Indianapolis, IN 46202, USA",ChIJA8bjTotQa4gRJqnjQFzQHiI,deli,sandwiches
8,8,Garcia's Hot Dogs,9/15/2017,,"5102 E 16th St, Indianapolis, IN 46218, USA",ChIJDX0XhM1Pa4gRhHwoWU8119s,stand,hot dogs
9,9,The Tamale Place,9/22/2017,Nate: The first good tamale I've ever had--now I get it.,"5226 Rockville Rd, Indianapolis, IN 46224, USA",ChIJ3fxePvtXa4gRD56IqJMt8ZA,dive,Mexican
9,9,Basey's B & G,10/13/2017,,"419 S West St, Indianapolis, IN 46225",ChIJFWzOBq9Qa4gRCh4qIieICUo,dive,wings
7,6,Rock-Cola,10/20/2017,"Will: Loved the Choc-ola","5730 S Brookville Rd, Indianapolis, IN 46219",ChIJU_RK3Y1Pa4gRBqMtXNqkeNs,dive,burgers
7,7.5,Ice House,10/27/2017,,"2352 S West St, Indianapolis, IN 46225",ChIJU28amRhaa4gRi6EQuPCiYOc,dive,pork tenderloin
,,His Place,,,"6916 E 30th St, Indianapolis, IN 46219",ChIJB32sqIVOa4gRpdggHAp2b_o,,
,,Working Man's Friend,,,"234 N Belmont Ave, Indianapolis, IN 46222",ChIJXwHvjWlXa4gR9JPPJwJXC1k,,
,,Mann's Grill,,,"1214 S Tibbs Ave, Indianapolis, IN 46241",ChIJh7QjsixYa4gRGHb5lH3mT0Y,,
,,The Great Divide,,,"743 E New York St, Indianapolis, IN 46202",ChIJc7hynY1Qa4gRHbM92XPPGM4,,
